age,race,gender,faminc_youth,pov_youth,wages,wages_sp,faminc,pov,edu,trt,incarc,id,hs,college,total_wages
19,2,2,,,,,,,14,0,0,"NLS79_1001",1,0,
16,2,1,,,0,,0,1,12,0,1,"NLS79_1002",1,0,0
18,1,2,37900,0,45000,,52272,0,12,0,0,"NLS79_10024",1,0,45000
19,1,1,5000,1,0,,0,1,12,0,1,"NLS79_10030",1,0,0
21,2,2,3124,1,0,,0,1,12,0,0,"NLS79_10111",1,0,0
21,2,2,11000,0,25000,,25000,0,14,0,0,"NLS79_10125",1,0,25000
14,2,1,7300,1,0,25000,40600,0,12,1,0,"NLS79_10133",1,0,25000
21,2,2,16500,0,38000,10000,61200,0,12,1,0,"NLS79_10164",1,0,48000
19,2,1,16000,0,0,1100,25568,1,12,0,0,"NLS79_10165",1,0,1100
19,2,2,,,0,,0,1,11,0,0,"NLS79_10184",0,,0
16,2,1,,,11800,,14000,0,14,0,0,"NLS79_10186",1,0,11800
15,2,1,,,28000,,28000,0,11,0,0,"NLS79_10187",0,,28000
21,2,2,3000,1,0,,,,,0,0,"NLS79_10188",1,1,0
14,2,1,,,0,,,,,1,0,"NLS79_10189",1,1,0
16,2,1,5000,1,15000,,15000,0,9,0,0,"NLS79_10200",0,,15000
18,2,1,5000,1,0,0,5712,1,10,1,0,"NLS79_10201",0,,0
17,2,1,,,0,,,,,1,0,"NLS79_10205",1,1,0
20,1,2,2100,1,16100,75000,,,16,0,0,"NLS79_10226",1,1,91100
14,2,2,6000,1,56000,,56000,0,12,1,0,"NLS79_10238",1,0,56000
19,2,1,3280,0,0,,,,,0,1,"NLS79_10239",1,1,0
21,2,2,,,0,,,,,0,0,"NLS79_1025",1,1,0
14,1,1,6600,0,65000,0,92600,0,17,1,0,"NLS79_10307",1,1,65000
18,2,1,3079,1,0,,,,,1,1,"NLS79_10316",1,1,0
20,2,1,3816,1,7000,,7000,1,12,0,1,"NLS79_10318",1,0,7000
17,1,2,4848,1,0,,,,,0,0,"NLS79_10358",1,1,0
20,1,2,6000,0,21000,30000,,,14,0,0,"NLS79_10360",1,0,51000
19,2,2,,,0,,,,,1,0,"NLS79_10373",1,1,0
18,1,1,4400,0,31000,,31000,0,12,0,1,"NLS79_10493",1,0,31000
17,4,2,10000,0,0,272295,497763,0,16,0,0,"NLS79_1050",1,1,272295
18,2,2,,,450,,850,1,18,1,0,"NLS79_10549",1,1,450
21,1,2,,,30000,,30000,0,14,0,0,"NLS79_10565",1,0,30000
19,2,2,,,21000,,21000,1,12,0,0,"NLS79_10579",1,0,21000
19,2,1,,,20000,,20000,0,12,0,0,"NLS79_10580",1,0,20000
20,4,1,10300,0,0,,,,,0,0,"NLS79_1062",1,1,0
21,4,2,20000,0,0,,,,,0,0,"NLS79_1069",1,1,0
18,4,1,2330,1,32000,,32000,0,13,1,0,"NLS79_10722",1,0,32000
21,4,1,,,0,54000,64320,0,12,0,0,"NLS79_10725",1,0,54000
19,2,1,5426,0,10000,,,,12,0,0,"NLS79_10740",1,0,10000
19,2,2,14000,0,83000,,83000,0,16,0,0,"NLS79_1078",1,1,83000
18,2,2,14000,0,43000,,43000,0,14,0,0,"NLS79_1079",1,0,43000
20,2,1,7000,0,0,,19800,0,14,0,0,"NLS79_10799",1,0,0
19,4,2,5200,0,61234,,74158,0,12,0,0,"NLS79_10811",1,0,61234
19,2,1,3046,1,75000,19000,128600,0,13,1,0,"NLS79_10844",1,0,94000
20,2,1,5820,0,40000,,40000,0,14,0,0,"NLS79_10855",1,0,40000
21,2,1,15200,0,48000,0,60200,0,13,1,0,"NLS79_10893",1,0,48000
16,4,1,17000,0,32000,,32000,0,12,0,0,"NLS79_1092",1,0,32000
20,4,1,,,0,,,,,0,0,"NLS79_1094",1,1,0
21,4,1,16500,0,110000,100000,230000,0,12,0,0,"NLS79_11015",1,0,210000
22,2,1,6200,0,68000,55000,126000,0,16,0,0,"NLS79_11044",1,1,123000
22,2,1,,,0,,21564,0,14,0,0,"NLS79_11070",1,0,0
22,2,1,6800,0,0,31000,113288,0,16,0,0,"NLS79_11071",1,1,31000
21,2,1,5400,0,15000,,15000,0,12,0,1,"NLS79_11082",1,0,15000
19,4,1,5760,0,40000,,40000,0,12,1,0,"NLS79_11185",1,0,40000
18,4,1,5000,0,29000,40000,69000,0,12,0,0,"NLS79_11247",1,0,69000
19,2,1,2765,1,67000,,89020,0,14,0,0,"NLS79_11274",1,0,67000
18,2,1,6238,0,43000,63000,135584,0,16,0,0,"NLS79_11325",1,1,106000
20,2,2,16000,0,0,,,,,0,0,"NLS79_1154",1,1,0
17,2,2,16000,0,68000,,,,16,0,0,"NLS79_1155",1,1,68000
20,1,1,6590,0,74000,,74000,0,14,1,0,"NLS79_11594",1,0,74000
21,2,1,5000,0,0,,,,,0,0,"NLS79_11623",1,1,0
20,4,1,,,32000,0,32000,0,12,0,0,"NLS79_11656",1,0,32000
