"A0002500","H0001700","H0002500","H0013700","H0014800","R0000100","R0000600","R0006500","R0006700","R0007900","R0008100","R0188000","R0214700","R0214800","R0217900","R0217910","R0223100","R0223500","R0402800","R0612100","R0828400","R1075700","R1451400","R1798600","R2160200","R2369100","R2500000","R2900000","R3100000","R3500000","R3700000","R4100300","R4500300","R5200300","R5800200","R6530300","R7090700","R7800600","T0001000","T1200800","T2260700","T3195700","T3966800","T3967300","T3977400","T3987600","T4112300","T4112500","T4113000"
445,-4,-4,-4,-4,1,20,8,-4,8,-4,-4,3,2,30000,0,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,1,-4,-4,-4,2,20,5,1,8,0,-4,3,2,20000,0,1,0,-4,-4,-4,-4,17,19,19,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,-4,-4,19000,0,43000,0,12
445,-4,-4,-4,-4,3,17,10,-4,12,-4,-4,3,2,22390,0,1,1,11,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,-5,11,-4,-4,35000,55000,93000,0,12
445,-4,-4,-4,-4,4,16,11,-4,12,-4,-4,3,2,22390,0,-5,-5,-5,11,11,11,11,11,11,11,11,11,11,-5,11,11,-5,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,5,19,12,-4,12,-4,1,3,1,36000,0,-4,-4,3,3,3,3,11,-5,11,-5,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4,-4,-4,-4,6,18,12,-4,12,-4,1,3,1,35000,0,-4,-4,3,6,3,17,17,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11,-4,-4,105000,52000,157000,0,16
445,-4,-4,-4,-4,7,14,12,-4,12,1,-4,3,1,8502,0,-4,-4,-4,-4,11,1,2,1,1,1,2,11,11,11,11,11,19,11,11,11,11,11,11,11,19,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,1,4,-4,8,20,9,1,6,1,11,3,2,7227,0,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,40000,1200,41200,0,14
445,-4,-4,-4,-4,9,15,12,-4,10,-4,-4,3,1,17000,0,-4,-4,-4,-4,-4,-4,-4,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,75000,65000,150000,0,14
445,-4,-4,-4,-4,10,18,12,-4,12,1,-4,3,2,3548,1,-4,1,-4,-4,-4,11,11,11,-5,-5,11,-5,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,3,-4,-4,-4,11,19,12,-4,12,1,1,3,1,12000,0,-5,-5,-5,3,-4,17,17,19,-5,-5,-5,11,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,12,19,15,-4,12,-4,-4,3,2,25000,0,-4,-4,-4,-4,-4,11,11,11,-5,-5,-5,-5,-5,-5,-5,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
